MinTemp,MaxTemp,Evaporation,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,Month,Day,Location_Target_Encoded,Rainfall_Category_Heavy Rain,Rainfall_Category_Moderate Rain,Rainfall_Category_No Rain,Rainfall_Category_Very Heavy Rain,DewPointEstimate,AvgHumidity,AvgTemperature,TempRange,TempSunshineInteraction,PressureDifference,TempDifference
18.7,28.5,4.8,28.0,7.0,19.0,88.0,57.0,1014.2,1012.9,19.6,28.2,2,12,1.9141149119893721,1.0,0.0,0.0,0.0,16.456,72.5,23.6,9.8,216.91855933884295,-1.3000000000000682,8.599999999999998
7.4,10.8,4.8,35.0,19.0,15.0,90.0,91.0,1010.7,1010.2,7.5,9.6,8,18,1.9141149119893721,1.0,0.0,0.0,0.0,6.66,90.5,9.100000000000001,3.4000000000000004,82.2007172231405,-0.5,2.0999999999999996
10.7,12.3,4.8,59.0,30.0,20.0,84.0,89.0,996.3,996.2,11.2,10.0,9,29,1.9141149119893721,1.0,0.0,0.0,0.0,8.988,86.5,11.5,1.6000000000000014,93.61748350413222,-0.09999999999990905,-1.1999999999999993
13.9,22.8,4.8,61.0,24.0,22.0,87.0,38.0,1011.7,1015.5,15.9,21.6,11,10,1.9141149119893721,1.0,0.0,0.0,0.0,12.093,62.5,18.35,8.9,173.5348474710744,3.7999999999999545,5.700000000000001
15.0,25.0,4.8,39.0,13.0,19.0,83.0,51.5391158755046,1006.2,1015.2558888309618,20.0,21.68339031800974,11,26,1.9141149119893721,1.0,0.0,0.0,0.0,12.45,67.2695579377523,20.0,10.0,190.2794380165289,9.055888830961749,1.6833903180097387
20.8,29.1,4.8,48.0,24.0,28.0,92.0,69.0,995.3,995.4,22.6,27.0,1,30,1.9141149119893721,1.0,0.0,0.0,0.0,19.136000000000003,80.5,24.950000000000003,8.3,221.48526585123966,0.10000000000002274,4.399999999999999
18.8,26.6,4.8,48.0,4.0,2.0,100.0,64.0,1012.0,1010.3,19.5,26.1,2,28,1.9141149119893721,1.0,0.0,0.0,0.0,18.8,82.0,22.700000000000003,7.800000000000001,202.45732204958676,-1.7000000000000455,6.600000000000001
17.0,25.8,4.8,48.0,13.0,24.0,60.0,46.0,1010.9,1011.3,19.1,25.2,3,2,1.9141149119893721,1.0,0.0,0.0,0.0,10.2,53.0,21.4,8.8,196.36838003305783,0.39999999999997726,6.099999999999998
14.6,22.7,4.8,19.0,7.0,2.0,100.0,62.0,1017.3,1014.7,15.7,21.9,4,20,1.9141149119893721,1.0,0.0,0.0,0.0,14.6,81.0,18.65,8.1,172.77372971900826,-2.599999999999909,6.199999999999999
5.5,9.4,4.8,59.0,19.0,22.0,87.0,86.0,1011.4,1008.6,7.6,8.6,5,25,1.9141149119893721,1.0,0.0,0.0,0.0,4.785,86.5,7.45,3.9000000000000004,71.54506869421488,-2.7999999999999545,1.0
9.0,14.0,4.8,39.0,15.0,15.0,87.0,73.0,1019.1,1017.8,10.8,13.0,7,11,1.9141149119893721,1.0,0.0,0.0,0.0,7.83,80.0,11.5,5.0,106.55648528925619,-1.3000000000000682,2.1999999999999993
2.7,17.1,4.8,31.0,6.0,17.0,72.0,51.0,1018.2,1016.3,8.7,15.6,10,7,1.9141149119893721,1.0,0.0,0.0,0.0,1.944,61.5,9.9,14.400000000000002,130.1511356033058,-1.900000000000091,6.9
16.1,26.1,4.8,35.0,7.0,11.0,83.0,55.0,1012.8,1011.1,18.4,21.8,11,8,1.9141149119893721,1.0,0.0,0.0,0.0,13.363000000000001,69.0,21.1,10.0,198.65173328925619,-1.6999999999999318,3.400000000000002
13.5,17.3,4.8,52.0,26.0,26.0,83.0,69.0,1010.3,1008.7,15.2,15.7,7,19,1.9141149119893721,1.0,0.0,0.0,0.0,11.205,76.0,15.4,3.8000000000000007,131.67337110743802,-1.599999999999909,0.5
10.8,18.4,4.8,35.0,7.0,22.0,100.0,82.0,1002.2,999.6,13.4,16.5,9,17,1.9141149119893721,1.0,0.0,0.0,0.0,10.8,91.0,14.6,7.599999999999998,140.04566638016527,-2.6000000000000227,3.0999999999999996
10.1,17.5,4.8,56.0,20.0,28.0,90.0,60.0,1000.8,1001.3,10.1,14.6,12,5,1.9141149119893721,1.0,0.0,0.0,0.0,9.09,75.0,13.8,7.4,133.19560661157024,0.5,4.5
13.3,25.9,4.8,35.0,11.0,19.0,52.0,33.0,1014.3,1014.4,17.8,24.3,1,25,1.9141149119893721,1.0,0.0,0.0,0.0,6.916,42.5,19.6,12.599999999999998,197.12949778512393,0.10000000000002274,6.5
19.2,23.1,4.8,20.0,13.0,13.0,99.0,98.0,998.9,994.8,20.1,22.0,2,15,1.9141149119893721,1.0,0.0,0.0,0.0,19.008,98.5,21.15,3.900000000000002,175.81820072727274,-4.100000000000023,1.8999999999999986
10.6,14.0,4.8,26.0,13.0,15.0,93.0,88.0,1014.4,1015.9,11.9,13.5,5,28,1.9141149119893721,1.0,0.0,0.0,0.0,9.858,90.5,12.3,3.4000000000000004,106.55648528925619,1.5,1.5999999999999996
12.7,21.8,4.8,30.0,17.0,7.0,93.0,60.0,1013.1,1012.8,13.5,21.0,9,25,1.9141149119893721,1.0,0.0,0.0,0.0,11.811,76.5,17.25,9.100000000000001,165.92366995041323,-0.3000000000000682,7.5
14.6,21.1,4.8,52.0,28.0,33.0,89.0,52.0,1004.5,1007.3,14.6,20.1,11,16,1.9141149119893721,1.0,0.0,0.0,0.0,12.994,70.5,17.85,6.500000000000002,160.59584568595042,2.7999999999999545,5.500000000000002
10.1,22.8,4.8,44.0,17.0,24.0,63.0,34.0,1018.2,1017.6,14.3,21.4,11,25,1.9141149119893721,1.0,0.0,0.0,0.0,6.3629999999999995,48.5,16.45,12.700000000000001,173.5348474710744,-0.6000000000000227,7.099999999999998
17.9,28.1,4.8,50.0,15.0,22.0,96.0,53.0,1000.4,1000.2,18.3,25.2,1,14,1.9141149119893721,1.0,0.0,0.0,0.0,17.183999999999997,74.5,23.0,10.200000000000003,213.8740883305785,-0.1999999999999318,6.899999999999999
15.2,19.9,4.8,35.0,9.0,13.0,94.0,98.0,1015.9,1012.3,17.5,17.2,4,18,1.9141149119893721,1.0,0.0,0.0,0.0,14.287999999999998,96.0,17.549999999999997,4.699999999999999,151.462432661157,-3.6000000000000227,-0.3000000000000007
9.9,11.1,4.8,15.0,0.0,0.0,100.0,100.0,1016.2,1015.6,10.4,10.7,6,18,1.9141149119893721,1.0,0.0,0.0,0.0,9.9,100.0,10.5,1.1999999999999993,84.48407047933884,-0.6000000000000227,0.29999999999999893
7.2,11.9,4.8,35.0,13.0,20.0,99.0,60.0,1013.4,1014.6,8.7,11.2,8,2,1.9141149119893721,1.0,0.0,0.0,0.0,7.128,79.5,9.55,4.7,90.57301249586777,1.2000000000000455,2.5
7.5,17.9,4.8,35.0,2.0,22.0,96.0,45.0,1009.1,1011.7,10.3,17.0,9,3,1.9141149119893721,1.0,0.0,0.0,0.0,7.199999999999999,70.5,12.7,10.399999999999999,136.2400776198347,2.6000000000000227,6.699999999999999
15.9,27.1,4.8,44.0,11.0,24.0,82.0,43.0,1010.9,1009.7,19.2,25.1,11,2,1.9141149119893721,1.0,0.0,0.0,0.0,13.038,62.5,21.5,11.200000000000001,206.26291080991734,-1.1999999999999318,5.900000000000002
13.0,26.1,4.8,28.0,17.0,13.0,88.0,47.0,1004.2,1003.2,14.7,24.2,2,1,1.9141149119893721,1.0,0.0,0.0,0.0,11.44,67.5,19.55,13.100000000000001,198.65173328925619,-1.0,9.5
14.7,18.3,4.8,54.0,17.0,4.0,90.0,73.0,1003.4,1000.7,17.9,17.6,5,9,1.9141149119893721,1.0,0.0,0.0,0.0,13.23,81.5,16.5,3.6000000000000014,139.28454862809917,-2.699999999999932,-0.29999999999999716
7.1,10.8,4.8,63.0,24.0,28.0,82.0,67.0,1005.2,1009.8,8.5,8.4,7,23,1.9141149119893721,1.0,0.0,0.0,0.0,5.821999999999999,74.5,8.95,3.700000000000001,82.2007172231405,4.599999999999909,-0.09999999999999964
8.3,13.7,4.8,35.0,7.0,20.0,83.0,47.0,1016.2,1016.5,8.6,13.5,8,2,1.9141149119893721,1.0,0.0,0.0,0.0,6.889,65.0,11.0,5.399999999999999,104.27313203305783,0.2999999999999545,4.9
10.6,18.4,4.8,43.0,15.0,20.0,100.0,66.0,1015.9,1015.4,13.9,16.7,8,31,1.9141149119893721,1.0,0.0,0.0,0.0,10.6,83.0,14.5,7.799999999999999,140.04566638016527,-0.5,2.799999999999999
9.6,16.6,4.8,48.0,15.0,31.0,90.0,60.0,1003.4,1008.8,11.4,15.1,9,3,1.9141149119893721,1.0,0.0,0.0,0.0,8.64,75.0,13.100000000000001,7.000000000000002,126.34554684297521,5.399999999999977,3.6999999999999993
11.1,14.8,4.8,56.0,9.0,24.0,89.0,59.0,993.7,993.1,11.8,13.9,9,29,1.9141149119893721,1.0,0.0,0.0,0.0,9.879,74.0,12.95,3.700000000000001,112.64542730578512,-0.6000000000000227,2.0999999999999996
10.0,15.7,4.8,43.0,24.0,28.0,85.0,59.0,1006.9,1008.4,10.4,14.7,4,26,1.9141149119893721,1.0,0.0,0.0,0.0,8.5,72.0,12.85,5.699999999999999,119.49548707438015,1.5,4.299999999999999
14.6,18.1,4.8,30.0,19.0,15.0,94.0,92.0,1023.6,1019.9,15.0,16.5,2,14,2.1931010928961747,1.0,0.0,0.0,0.0,13.723999999999998,93.0,16.35,3.5000000000000018,137.76231312396695,-3.7000000000000455,1.5
15.0,21.9,4.8,41.0,15.0,17.0,91.0,82.0,1015.7,1014.6,17.8,21.9,2,15,2.1931010928961747,1.0,0.0,0.0,0.0,13.65,86.5,18.45,6.899999999999999,166.68478770247933,-1.1000000000000227,4.099999999999998
16.2,25.0,4.8,48.0,19.0,28.0,78.0,56.0,1018.3,1018.1,21.3,23.2,2,16,2.1931010928961747,1.0,0.0,0.0,0.0,12.636,67.0,20.6,8.8,190.2794380165289,-0.1999999999999318,1.8999999999999986
15.1,30.4,4.8,37.0,0.0,9.0,99.0,49.0,1010.8,1007.3,19.0,29.1,3,15,2.1931010928961747,1.0,0.0,0.0,0.0,14.949,74.0,22.75,15.299999999999999,231.37979662809914,-3.5,10.100000000000001
17.0,31.3,4.8,76.0,0.0,9.0,97.0,49.0,1019.9,1016.4,20.0,30.0,3,26,2.1931010928961747,1.0,0.0,0.0,0.0,16.49,73.0,24.15,14.3,238.2298563966942,-3.5,10.0
17.6,22.9,4.8,50.0,20.0,19.0,97.0,78.0,1021.9,1021.4,19.0,22.6,4,1,2.1931010928961747,1.0,0.0,0.0,0.0,17.072,87.5,20.25,5.299999999999997,174.29596522314048,-0.5,3.6000000000000014
12.8,19.0,4.8,48.0,17.0,26.0,84.0,61.0,1024.4,1022.4,16.5,17.9,5,21,2.1931010928961747,1.0,0.0,0.0,0.0,10.752,72.5,15.9,6.199999999999999,144.61237289256198,-2.0000000000001137,1.3999999999999986
19.0,26.2,4.8,31.0,9.0,19.0,99.0,51.5391158755046,1015.6,1015.2558888309618,19.6,21.68339031800974,12,28,2.1931010928961747,1.0,0.0,0.0,0.0,18.81,75.2695579377523,22.6,7.199999999999999,199.41285104132228,-0.3441111690382286,2.0833903180097373
19.5,25.2,4.8,46.0,15.0,19.0,85.0,51.5391158755046,1016.8,1015.2558888309618,21.2,21.68339031800974,2,6,2.1931010928961747,1.0,0.0,0.0,0.0,16.575,68.2695579377523,22.35,5.699999999999999,191.80167352066113,-1.5441111690381604,0.4833903180097394
19.0,26.7,4.8,39.0,13.0,4.0,89.0,77.0,1021.9,1020.4,20.9,24.9,2,7,2.1931010928961747,1.0,0.0,0.0,0.0,16.91,83.0,22.85,7.699999999999999,203.21843980165286,-1.5,4.0
21.3,26.7,4.8,39.0,0.0,19.0,97.0,92.0,1007.6,1003.9,22.1,23.8,2,14,2.1931010928961747,1.0,0.0,0.0,0.0,20.661,94.5,24.0,5.399999999999999,203.21843980165286,-3.7000000000000455,1.6999999999999993
16.6,22.6,4.8,39.0,15.0,22.0,89.0,66.0,1020.8,1018.5,18.2,21.0,3,31,2.1931010928961747,1.0,0.0,0.0,0.0,14.774000000000001,77.5,19.6,6.0,172.01261196694216,-2.2999999999999545,2.8000000000000007
11.4,18.6,4.8,30.0,15.0,13.0,80.0,86.0,1019.2,1018.7,14.4,15.3,5,27,2.1931010928961747,1.0,0.0,0.0,0.0,9.120000000000001,83.0,15.0,7.200000000000001,141.56790188429753,-0.5,0.9000000000000004
13.4,16.9,4.8,41.0,19.0,9.0,89.0,94.0,1019.8,1017.3,15.1,15.1,6,4,2.1931010928961747,1.0,0.0,0.0,0.0,11.926,91.5,15.149999999999999,3.4999999999999982,128.62890009917353,-2.5,0.0
7.0,17.0,4.8,46.0,15.0,7.0,93.0,67.0,1034.5,1033.2,9.4,15.0,7,26,2.1931010928961747,1.0,0.0,0.0,0.0,6.510000000000001,80.0,12.0,10.0,129.39001785123966,-1.2999999999999545,5.6
9.0,13.4,4.8,28.0,0.0,6.0,100.0,100.0,1019.4,1016.1,10.4,13.1,7,29,2.1931010928961747,1.0,0.0,0.0,0.0,9.0,100.0,11.2,4.4,101.9897787768595,-3.2999999999999545,2.6999999999999993
13.8,20.5,4.8,33.0,7.0,17.0,100.0,65.0,1026.9,1022.9,15.9,20.0,10,4,2.1931010928961747,1.0,0.0,0.0,0.0,13.8,82.5,17.15,6.699999999999999,156.02913917355372,-4.000000000000114,4.1
10.9,20.3,4.8,50.0,26.0,26.0,68.0,55.0,1012.5,1012.9,14.7,18.7,11,2,2.1931010928961747,1.0,0.0,0.0,0.0,7.412000000000001,61.5,15.600000000000001,9.4,154.5069036694215,0.39999999999997726,4.0
17.6,25.3,4.8,39.0,7.0,22.0,81.0,64.0,1013.6,1010.8,20.3,24.1,11,16,2.1931010928961747,1.0,0.0,0.0,0.0,14.256000000000002,72.5,21.450000000000003,7.699999999999999,192.56279127272725,-2.800000000000068,3.8000000000000007
16.5,20.4,4.8,37.0,15.0,13.0,99.0,93.0,1016.4,1015.7,18.2,20.0,12,1,2.1931010928961747,1.0,0.0,0.0,0.0,16.335,96.0,18.45,3.8999999999999986,155.2680214214876,-0.6999999999999318,1.8000000000000007
16.9,28.2,4.8,41.0,15.0,24.0,79.0,58.0,1016.7,1014.6,23.5,26.6,12,7,2.1931010928961747,1.0,0.0,0.0,0.0,13.350999999999999,68.5,22.549999999999997,11.3,214.6352060826446,-2.1000000000000227,3.1000000000000014
16.5,25.5,4.8,35.0,6.0,11.0,81.0,73.0,1006.5,1003.9,18.9,22.1,12,17,2.1931010928961747,1.0,0.0,0.0,0.0,13.365,77.0,21.0,9.0,194.08502677685948,-2.6000000000000227,3.200000000000003
16.6,19.8,4.8,33.0,6.0,13.0,96.0,81.0,1005.9,1006.1,16.7,18.7,12,27,2.1931010928961747,1.0,0.0,0.0,0.0,15.936,88.5,18.200000000000003,3.1999999999999993,150.7013149090909,0.20000000000004547,2.0
17.8,23.7,4.8,48.0,9.0,11.0,99.0,92.0,1013.4,1011.0,18.9,21.0,3,20,2.1931010928961747,1.0,0.0,0.0,0.0,17.622,95.5,20.75,5.899999999999999,180.38490723966942,-2.3999999999999773,2.1000000000000014
12.4,18.2,4.8,30.0,15.0,15.0,96.0,79.0,1020.4,1019.9,15.4,17.9,5,31,2.1931010928961747,1.0,0.0,0.0,0.0,11.904,87.5,15.3,5.799999999999999,138.52343087603305,-0.5,2.4999999999999982
12.3,18.8,4.8,33.0,9.0,17.0,86.0,75.0,1026.0,1025.3,15.3,17.0,6,1,2.1931010928961747,1.0,0.0,0.0,0.0,10.578000000000001,80.5,15.55,6.5,143.09013738842975,-0.7000000000000455,1.6999999999999993
10.1,13.6,4.8,37.0,20.0,13.0,86.0,93.0,1019.2,1019.2,11.7,10.7,7,22,2.1931010928961747,1.0,0.0,0.0,0.0,8.686,89.5,11.85,3.5,103.51201428099172,0.0,-1.0
9.9,19.0,4.8,37.0,11.0,20.0,72.0,55.0,1029.6,1028.9,15.0,17.0,8,20,2.1931010928961747,1.0,0.0,0.0,0.0,7.128,63.5,14.45,9.1,144.61237289256198,-0.6999999999998181,2.0
11.2,16.1,4.8,37.0,15.0,7.0,100.0,100.0,1019.5,1021.2,11.6,11.7,9,25,2.1931010928961747,1.0,0.0,0.0,0.0,11.2,100.0,13.65,4.900000000000002,122.53995808264463,1.7000000000000455,0.09999999999999964
9.6,19.1,4.8,30.0,13.0,17.0,68.0,55.0,1025.4,1021.8,15.6,17.2,9,26,2.1931010928961747,1.0,0.0,0.0,0.0,6.5280000000000005,61.5,14.350000000000001,9.500000000000002,145.3734906446281,-3.6000000000001364,1.5999999999999996
13.6,16.3,4.8,30.0,11.0,15.0,100.0,100.0,1016.5,1019.7,13.7,15.8,11,23,2.1931010928961747,1.0,0.0,0.0,0.0,13.6,100.0,14.95,2.700000000000001,124.06219358677686,3.2000000000000455,2.1000000000000014
14.7,29.5,4.8,43.0,9.0,9.0,100.0,56.0,1007.7,1003.2,19.6,28.2,11,26,2.1931010928961747,1.0,0.0,0.0,0.0,14.7,78.0,22.1,14.8,224.5297368595041,-4.5,8.599999999999998
16.8,24.4,4.8,24.0,11.0,11.0,76.0,63.0,1013.6,1014.1,19.6,22.8,12,20,2.1931010928961747,1.0,0.0,0.0,0.0,12.768,69.5,20.6,7.599999999999998,185.7127315041322,0.5,3.1999999999999993
15.6,20.3,4.8,24.0,7.0,4.0,100.0,100.0,1007.0,1004.9,17.0,19.6,2,3,2.1931010928961747,1.0,0.0,0.0,0.0,15.6,100.0,17.95,4.700000000000001,154.5069036694215,-2.1000000000000227,2.6000000000000014
16.6,26.3,4.8,28.0,7.0,9.0,100.0,69.0,1012.1,1009.3,17.8,24.4,2,10,2.1931010928961747,1.0,0.0,0.0,0.0,16.6,84.5,21.450000000000003,9.7,200.1739687933884,-2.800000000000068,6.599999999999998
17.5,28.8,4.8,31.0,13.0,11.0,92.0,59.0,1012.4,1010.2,20.8,27.6,2,20,2.1931010928961747,1.0,0.0,0.0,0.0,16.1,75.5,23.15,11.3,219.2019125950413,-2.199999999999932,6.800000000000001
18.3,27.3,4.8,33.0,7.0,6.0,100.0,72.0,1007.5,1001.4,20.0,26.9,3,1,2.1931010928961747,1.0,0.0,0.0,0.0,18.3,86.0,22.8,9.0,207.78514631404957,-6.100000000000023,6.899999999999999
18.6,21.0,4.8,28.0,4.0,11.0,98.0,81.0,1014.0,1015.1,18.7,21.0,3,17,2.1931010928961747,1.0,0.0,0.0,0.0,18.228,89.5,19.8,2.3999999999999986,159.8347279338843,1.1000000000000227,2.3000000000000007
16.0,19.4,4.8,33.0,2.0,2.0,99.0,100.0,1021.5,1018.6,17.3,18.0,4,18,2.1931010928961747,1.0,0.0,0.0,0.0,15.84,99.5,17.7,3.3999999999999986,147.65684390082643,-2.8999999999999773,0.6999999999999993
10.3,18.4,4.8,35.0,7.0,9.0,91.0,83.0,1021.4,1019.2,13.2,15.5,6,12,2.1931010928961747,1.0,0.0,0.0,0.0,9.373000000000001,87.0,14.35,8.099999999999998,140.04566638016527,-2.199999999999932,2.3000000000000007
19.2,23.4,4.8,24.0,7.0,15.0,100.0,86.0,1008.6,1008.8,20.1,22.4,1,27,2.1931010928961747,1.0,0.0,0.0,0.0,19.2,93.0,21.299999999999997,4.199999999999999,178.10155398347106,0.1999999999999318,2.299999999999997
15.3,18.4,4.8,50.0,17.0,17.0,96.0,92.0,1015.2,1017.3,17.8,16.6,3,1,2.1931010928961747,1.0,0.0,0.0,0.0,14.688,94.0,16.85,3.099999999999998,140.04566638016527,2.099999999999909,-1.1999999999999993
15.4,20.6,4.8,24.0,7.0,13.0,98.0,71.0,1015.5,1013.5,15.7,19.6,4,16,2.1931010928961747,1.0,0.0,0.0,0.0,15.092,84.5,18.0,5.200000000000001,156.79025692561984,-2.0,3.900000000000002
11.0,17.3,4.8,37.0,15.0,19.0,78.0,67.0,1019.8,1018.6,13.7,16.7,5,24,2.1931010928961747,1.0,0.0,0.0,0.0,8.58,72.5,14.15,6.300000000000001,131.67337110743802,-1.1999999999999318,3.0
10.4,17.8,4.8,33.0,11.0,17.0,100.0,67.0,1021.0,1020.5,13.6,17.4,6,26,2.1931010928961747,1.0,0.0,0.0,0.0,10.4,83.5,14.100000000000001,7.4,135.4789598677686,-0.5,3.799999999999999
11.2,13.3,4.8,19.0,9.0,11.0,100.0,100.0,1025.2,1023.2,11.7,12.8,6,29,2.1931010928961747,1.0,0.0,0.0,0.0,11.2,100.0,12.25,2.1000000000000014,101.22866102479338,-2.0,1.1000000000000014
13.7,22.8,4.8,52.0,15.0,22.0,79.0,49.0,1000.3,997.9,17.5,21.0,9,17,2.1931010928961747,1.0,0.0,0.0,0.0,10.823,64.0,18.25,9.100000000000001,173.5348474710744,-2.3999999999999773,3.5
12.8,17.3,4.8,39.0,9.0,20.0,96.0,90.0,1019.6,1017.1,13.9,15.4,11,11,2.1931010928961747,1.0,0.0,0.0,0.0,12.288,93.0,15.05,4.5,131.67337110743802,-2.5,1.5
13.7,22.8,4.8,26.0,6.0,17.0,86.0,73.0,1012.7,1010.3,17.2,19.4,11,12,2.1931010928961747,1.0,0.0,0.0,0.0,11.782,79.5,18.25,9.100000000000001,173.5348474710744,-2.400000000000091,2.1999999999999993
17.0,24.9,4.8,30.0,0.0,15.0,90.0,68.0,1005.8,1002.6,19.3,23.3,11,23,2.1931010928961747,1.0,0.0,0.0,0.0,15.3,79.0,20.95,7.899999999999999,189.51832026446277,-3.199999999999932,4.0
17.0,29.8,4.8,54.0,9.0,17.0,57.0,27.0,1007.6,1007.4,20.6,29.2,2,20,2.1931010928961747,1.0,0.0,0.0,0.0,9.69,42.0,23.4,12.8,226.81309011570247,-0.20000000000004547,8.599999999999998
16.9,22.9,4.8,30.0,9.0,4.0,85.0,76.0,1020.5,1020.3,19.0,21.7,3,2,2.1931010928961747,1.0,0.0,0.0,0.0,14.364999999999998,80.5,19.9,6.0,174.29596522314048,-0.20000000000004547,2.6999999999999993
15.4,26.4,4.8,22.0,6.0,6.0,97.0,58.0,1022.4,1019.2,17.6,24.9,3,31,2.1931010928961747,1.0,0.0,0.0,0.0,14.938,77.5,20.9,10.999999999999998,200.9350865454545,-3.199999999999932,7.299999999999997
10.6,16.1,4.8,35.0,0.0,13.0,100.0,100.0,1010.6,1004.9,13.0,13.7,8,17,2.1931010928961747,1.0,0.0,0.0,0.0,10.6,100.0,13.350000000000001,5.500000000000002,122.53995808264463,-5.7000000000000455,0.6999999999999993
10.7,15.8,4.8,54.0,31.0,30.0,99.0,71.0,1004.1,1006.3,12.4,15.1,8,18,2.1931010928961747,1.0,0.0,0.0,0.0,10.593,85.0,13.25,5.100000000000001,120.25660482644628,2.199999999999932,2.6999999999999993
11.5,17.5,4.8,48.0,13.0,28.0,95.0,73.0,1026.3,1024.4,13.4,15.4,8,27,2.1931010928961747,1.0,0.0,0.0,0.0,10.924999999999999,84.0,14.5,6.0,133.19560661157024,-1.8999999999998636,2.0
10.1,17.6,4.8,57.0,28.0,26.0,70.0,54.0,1013.0,1013.7,11.8,15.8,10,15,2.1931010928961747,1.0,0.0,0.0,0.0,7.069999999999999,62.0,13.850000000000001,7.500000000000002,133.95672436363637,0.7000000000000455,4.0
12.1,23.1,4.8,31.0,19.0,15.0,69.0,56.0,1015.5,1013.0,17.1,22.2,11,6,2.1931010928961747,1.0,0.0,0.0,0.0,8.348999999999998,62.5,17.6,11.000000000000002,175.81820072727274,-2.5,5.099999999999998
